"State","Store_name","Shopping_center","Street_add","City","Postcode","Hrs_of_bus","Display_wd","URL","Xcoord","Ycoord","uuid","Oils","Sculpture","Digital","Glass","Photography","Drawing"
"IL","Illinois State Museum Chicago","2nd Floor James R. Thompson Center","100 W. Randolph","Chicago","60601","9:00-5:00 Monday to Friday","1.5","","41.884795","-87.631354","1","YES","YES","YES","YES","NO","NO"
"IL","L.H. Selman Ltd.","","410 South Michigan Avenue","Chicago","60605","9:00am - 5:00pm Monday through Friday","1.5","www.theglassgallery.com","-87.624515","41.876674","2","NO","NO","NO","YES","NO","NO"
"IL","Mars Gallery","","1139 W. Fulton Market Street","Chicago","60607","Wednesday/Friday 12pm - 6pm Thursday 12pm - 7pm Saturday 11 - 5pm","1.5","www.marsgallery.com","-87.656049","41.886584","3"," YES","NO","NO","NO","NO","NO"
"IL","Primitive Warehouse","","1200 West 35th Street (35th & Racine)","Chicago","60608","Monday-Saturday: 10am-6pm","1.5","www.beprimitive.com","-87.656797","41.831723","4","YES","YES","NO","YES","NO","YES"
"IL","Friedman Fine Art","","120 North Green Street - Suite 706","Chicago","60607","By Appointment Only","1.5","www.friedmanfineart.net","-87.64865","41.884483","5","NO","NO","YES","NO","NO","YES"
"IL","Julie Ressler Watercolors","","2210 West Morse Avenue","Chicago","60645","9:00am - 5:00pm Monday through Friday","1.5","julieressler.com","-87.686656","42.007338","6","YES","NO","NO","NO","NO","NO"
"IL","The Art Institute of Chicago","","111 S Michigan Ave","Chicago","60603","10:30 am - 5:00 pm Saturday","1.5","www.artic.edu","-87.623695","41.879419","7","YES","NO","NO","YES","NO","YES"
"IL","Sacred Art","","4619 N Lincoln Ave","Chicago","60625","11:00 am - 8:00 pm  Sunday to Saturday","1.5","www.sacredartstore.com","-87.686316","41.965469","8","YES","NO","YES","YES","YES","NO"
"IL","Arts & Artisans","Hilton Chicago","720 S Michigan Ave","Chicago","60605","10:00 am – 4:00 pm Monday to Friday","1.5","www.artsartisans.com","-87.624483","41.872693","9","YES","NO","NO","YES","NO","NO"
"IL","State of Illinois Artisian Shop","","100 W Randolph St #2","Chicago","60601","9:00 am - 5:00 pm Monday to Friday","1.5","www.museum.state.il.us","-87.631393","41.884825","10","YES","YES","YES","YES","YES","YES"
"IL","Lotton Gallery","900 North Michigan Shops","900 North Michigan Ave. - Level 6","Chicago","60611","10:00 am-7:00 pm Monday to Saturday","1.5","www.lottongallery.com","-87.624414","41.899626","11","YES","NO","NO","YES","YES","NO"